iter	Passed	Remaining
0	143	143678
1	144	72190
2	145	48288
3	145	36339
4	146	29181
5	147	24394
6	147	20974
7	148	18432
8	149	16458
9	150	14865
10	150	13557
11	151	12468
12	152	11555
13	153	10787
14	154	10113
15	154	9523
16	155	8999
17	156	8526
18	157	8114
19	157	7734
20	158	7389
21	159	7075
22	159	6786
23	160	6525
24	161	6289
25	161	6064
26	162	5855
27	163	5663
28	163	5483
29	164	5315
30	165	5158
31	165	5010
32	166	4875
33	167	4748
34	167	4625
35	168	4509
36	169	4399
37	169	4295
38	170	4196
39	170	4101
40	171	4011
41	172	3928
42	172	3848
43	173	3770
44	174	3696
45	174	3627
46	175	3559
47	176	3494
48	176	3432
49	177	3374
50	178	3317
51	179	3267
52	179	3214
53	180	3161
54	181	3112
55	181	3063
56	182	3016
57	182	2971
58	183	2928
59	184	2887
60	185	2848
61	185	2808
62	186	2770
63	186	2734
64	187	2699
65	188	2664
66	188	2631
67	189	2599
68	190	2568
69	191	2538
70	191	2507
71	192	2478
72	192	2449
73	193	2421
74	194	2394
75	194	2368
76	195	2342
77	196	2318
78	196	2295
79	197	2271
80	198	2247
81	198	2225
82	199	2199
83	199	2177
84	200	2156
85	200	2135
86	201	2114
87	202	2096
88	203	2078
89	203	2059
90	204	2041
91	204	2023
92	205	2005
93	206	1987
94	206	1970
95	207	1953
96	208	1937
97	208	1921
98	209	1907
99	210	1892
100	210	1876
101	211	1861
102	212	1847
103	212	1832
104	213	1818
105	213	1804
106	214	1791
107	215	1779
108	216	1766
109	216	1753
110	217	1745
111	218	1733
112	219	1721
113	220	1710
114	220	1699
115	221	1689
116	222	1677
117	222	1666
118	223	1655
119	224	1645
120	224	1634
121	225	1623
122	226	1613
123	226	1603
124	227	1594
125	228	1586
126	229	1575
127	229	1566
128	230	1557
129	231	1547
130	231	1537
131	232	1528
132	233	1519
133	233	1511
134	234	1503
135	235	1494
136	235	1485
137	236	1477
138	237	1469
139	237	1461
140	238	1454
141	239	1445
142	239	1438
143	240	1431
144	241	1424
145	242	1417
146	242	1409
147	243	1402
148	244	1395
149	245	1388
150	245	1382
151	246	1376
152	247	1369
153	248	1363
154	248	1356
155	249	1350
156	250	1344
157	251	1338
158	251	1331
159	252	1324
160	252	1317
161	254	1314
162	254	1308
163	255	1303
164	256	1296
165	256	1291
166	257	1285
167	258	1280
168	259	1274
169	259	1268
170	260	1262
171	261	1257
172	261	1251
173	262	1246
174	263	1240
175	264	1236
176	264	1231
177	265	1226
178	266	1221
179	266	1216
180	267	1210
181	268	1206
182	269	1202
183	270	1199
184	271	1195
185	272	1191
186	272	1186
187	273	1181
188	274	1177
189	275	1172
190	275	1168
191	276	1165
192	277	1160
193	278	1156
194	278	1151
195	279	1147
196	280	1142
197	281	1138
198	281	1134
199	282	1130
200	283	1125
201	283	1121
202	284	1116
203	285	1112
204	285	1107
205	286	1103
206	286	1098
207	287	1094
208	288	1090
209	288	1086
210	289	1082
211	290	1078
212	290	1073
213	291	1069
214	291	1065
215	292	1061
216	292	1057
217	293	1052
218	294	1048
219	294	1044
220	295	1041
221	295	1037
222	296	1033
223	297	1029
224	297	1025
225	298	1021
226	298	1017
227	299	1014
228	300	1010
229	301	1008
230	301	1004
231	302	1001
232	303	997
233	303	993
234	304	990
235	304	986
236	305	983
237	305	979
238	306	976
239	307	972
240	307	969
241	308	966
242	309	963
243	309	959
244	310	956
245	311	953
246	311	949
247	312	946
248	312	942
249	313	940
250	314	938
251	315	935
252	315	931
253	316	928
254	316	925
255	317	922
256	317	919
257	318	915
258	319	913
259	319	910
260	320	907
261	321	904
262	321	901
263	322	898
264	323	895
265	323	893
266	324	890
267	324	887
268	325	884
269	326	881
270	326	878
271	327	876
272	327	873
